GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-service,com.buy01.order.model,OrderStatus,0,54,0,0,0,6,0,1,0,1
order-service,com.buy01.order.controller,OrderController,21,182,3,5,4,31,3,11,0,10
order-service,com.buy01.order,OrderServiceApplication,5,3,0,0,2,1,1,1,1,1
order-service,com.buy01.order.config,GlobalExceptionHandler,0,17,0,0,0,4,0,2,0,2
order-service,com.buy01.order.config,WebClientConfig,0,5,0,0,0,2,0,2,0,2
order-service,com.buy01.order.service,OrderService,121,727,26,26,11,154,27,18,3,16
order-service,com.buy01.order.service,OrderProducer,16,4,0,0,3,1,1,1,1,1
